nuclide   ,mass                ,uncertainty         ,Year/link 
33Ar      ,32.989925545        ,0.000000430         ,2020      
33K       ,33.008095           ,0.000215            ,2020      
33Ca      ,33.033312           ,0.000429            ,2020      
34Ne      ,34.056728           ,0.000551            ,2020      
34Na      ,34.034010000        ,0.000643500         ,2020      
34Mg      ,34.008935455        ,0.000007400         ,2020      
34Al      ,33.996781924        ,0.000002259         ,2020      
34Si      ,33.978538045        ,0.000000860         ,2020      
34P       ,33.973645886        ,0.000000870         ,2020      
34S       ,33.967867011        ,0.000000047         ,2020      
34Cl      ,33.973762490        ,0.000000052         ,2020      
34Ar      ,33.980270092        ,0.000000083         ,2020      
34K       ,33.998690           ,0.000210            ,2020      
34Ca      ,34.015985           ,0.000322            ,2020      
35Na      ,35.040614           ,0.000720            ,2020      
35Mg      ,35.016790000        ,0.000289500         ,2020      
35Al      ,34.999759816        ,0.000007900         ,2020      
35Si      ,34.984550111        ,0.000038494         ,2020      
35P       ,34.973314045        ,0.000002003         ,2020      
35S       ,34.969032321        ,0.000000043         ,2020      
35Cl      ,34.968852694        ,0.000000038         ,2020      
35Ar      ,34.975257719        ,0.000000730         ,2020      
35K       ,34.988005406        ,0.000000550         ,2020      
35Ca      ,35.005572           ,0.000215            ,2020      
35Sc      ,35.029093           ,0.000429            ,2020      
36Na      ,36.049279           ,0.000737            ,2020      
36Mg      ,36.021879000        ,0.000741000         ,2020      
36Al      ,36.006388000        ,0.000160500         ,2020      
36Si      ,35.986649271        ,0.000077077         ,2020      
36P       ,35.978259610        ,0.000014078         ,2020      
36S       ,35.967080692        ,0.000000201         ,2020      
36Cl      ,35.968306822        ,0.000000038         ,2020      
36Ar      ,35.967545106        ,0.000000028         ,2020      
36K       ,35.981301887        ,0.000000349         ,2020      
36Ca      ,35.993074388        ,0.000042941         ,2020      
36Sc      ,36.017338           ,0.000322            ,2020      
37Na      ,37.057042           ,0.000737            ,2020      
37Mg      ,37.030286265        ,0.000750350         ,2020      
37Al      ,37.010531000        ,0.000193500         ,2020      
37Si      ,36.992945191        ,0.000122179         ,2020      
37P       ,36.979606942        ,0.000040738         ,2020      
37S       ,36.971125500        ,0.000000212         ,2020      
37Cl      ,36.965902573        ,0.000000055         ,2020      
37Ar      ,36.966776301        ,0.000000221         ,2020      
37K       ,36.973375890        ,0.000000100         ,2020      
37Ca      ,36.985897849        ,0.000000680         ,2020      
37Sc      ,37.004058           ,0.000322            ,2020      
37Ti      ,37.027021           ,0.000429            ,2020      
38Na      ,38.066458           ,0.000768            ,2020      
38Mg      ,38.036580           ,0.000540            ,2020      
38Al      ,38.017681           ,0.000161            ,2020      
38Si      ,37.995523000        ,0.000112500         ,2020      
38P       ,37.984303105        ,0.000077918         ,2020      
38S       ,37.971163300        ,0.000007699         ,2020      
38Cl      ,37.968010408        ,0.000000105         ,2020      
38Ar      ,37.962732102        ,0.000000209         ,2020      
38K       ,37.969081114        ,0.000000209         ,2020      
38Ca      ,37.976319223        ,0.000000208         ,2020      
38Sc      ,37.995438           ,0.000215            ,2020      
38Ti      ,38.012206           ,0.000322            ,2020      
39Na      ,39.075123           ,0.000797            ,2020      
39Mg      ,39.045921           ,0.000551            ,2020      
39Al      ,39.023070           ,0.000322            ,2020      
39Si      ,39.002491000        ,0.000145500         ,2020      
39P       ,38.986285865        ,0.000120929         ,2020      
39S       ,38.975133850        ,0.000053677         ,2020      
39Cl      ,38.968008151        ,0.000001859         ,2020      
39Ar      ,38.964313037        ,0.000005367         ,2020      
39K       ,38.96370648482      ,0.00000000489       ,2020      
39Ca      ,38.970710811        ,0.000000640         ,2020      
39Sc      ,38.984784953        ,0.000025765         ,2020      
39Ti      ,39.002684           ,0.000215            ,2020      
39V       ,39.024230           ,0.000429            ,2020      
40Mg      ,40.053194           ,0.000537            ,2020      
40Al      ,40.030940           ,0.000322            ,2020      
40Si      ,40.006083641        ,0.000130962         ,2020      
40P       ,39.991262221        ,0.000089755         ,2020      
40S       ,39.975482561        ,0.000004274         ,2020      
40Cl      ,39.970415466        ,0.000034423         ,2020      
40Ar      ,39.96238312204      ,0.00000000234       ,2020      
40K       ,39.963998165        ,0.000000060         ,2020      
40Ca      ,39.962590850        ,0.000000022         ,2020      
40Sc      ,39.977967275        ,0.000003036         ,2020      
40Ti      ,39.990345146        ,0.000073262         ,2020      
40V       ,40.013387           ,0.000322            ,2020      
41Mg      ,41.062373           ,0.000537            ,2020      
41Al      ,41.037134           ,0.000429            ,2020      
41Si      ,41.014171           ,0.000322            ,2020      
41P       ,40.994654000        ,0.000129000         ,2020      
41S       ,40.979593451        ,0.000004400         ,2020      
41Cl      ,40.970684525        ,0.000073777         ,2020      
41Ar      ,40.964500570        ,0.000000372         ,2020      
41K       ,40.96182525611      ,0.00000000403       ,2020      
41Ca      ,40.962277905        ,0.000000147         ,2020      
41Sc      ,40.969251163        ,0.000000083         ,2020      
41Ti      ,40.983148000        ,0.000030000         ,2020      
41V       ,41.000333           ,0.000215            ,2020      
41Cr      ,41.021911           ,0.000429            ,2020      
42Al      ,42.045078           ,0.000537            ,2020      
42Si      ,42.018078           ,0.000322            ,2020      
42P       ,42.001172140        ,0.000101996         ,2020      
42S       ,41.981065100        ,0.000003000         ,2020      
42Cl      ,41.973342000        ,0.000064000         ,2020      
42Ar      ,41.963045737        ,0.000006200         ,2020      
42K       ,41.962402305        ,0.000000113         ,2020      
42Ca      ,41.958617780        ,0.000000159         ,2020      
42Sc      ,41.965516686        ,0.000000165         ,2020      
42Ti      ,41.973049369        ,0.000000289         ,2020      
42V       ,41.991820           ,0.000210            ,2020      
42Cr      ,42.007579           ,0.000322            ,2020      
43Al      ,43.051820           ,0.000644            ,2020      
43Si      ,43.026119           ,0.000429            ,2020      
43P       ,43.005411           ,0.000322            ,2020      
43S       ,42.986907635        ,0.000005335         ,2020      
43Cl      ,42.974063700        ,0.000066407         ,2020      
43Ar      ,42.965636056        ,0.000005700         ,2020      
43K       ,42.960734701        ,0.000000440         ,2020      
43Ca      ,42.958766381        ,0.000000244         ,2020      
43Sc      ,42.961150425        ,0.000001999         ,2020      
43Ti      ,42.968528420        ,0.000006139         ,2020      
43V       ,42.980766000        ,0.000046000         ,2020      
43Cr      ,42.997885           ,0.000215            ,2020      
43Mn      ,43.018647           ,0.000429            ,2020      
44Si      ,44.031466           ,0.000537            ,2020      
44P       ,44.011927           ,0.000429            ,2020      
44S       ,43.990118846        ,0.000005600         ,2020      
44Cl      ,43.978014918        ,0.000091859         ,2020      
44Ar      ,43.964923814        ,0.000001700         ,2020      
44K       ,43.961586984        ,0.000000450         ,2020      
44Ca      ,43.955481489        ,0.000000348         ,2020      
44Sc      ,43.959402818        ,0.000001884         ,2020      
44Ti      ,43.959689936        ,0.000000751         ,2020      
44V       ,43.974440977        ,0.000007799         ,2020      
44Cr      ,43.985591000        ,0.000055000         ,2020      
44Mn      ,44.008009           ,0.000322            ,2020      
45Si      ,45.039818           ,0.000644            ,2020      
45P       ,45.017134           ,0.000537            ,2020      
45S       ,44.996414           ,0.000322            ,2020      
45Cl      ,44.980394353        ,0.000146177         ,2020      
45Ar      ,44.968039731        ,0.000000550         ,2020      
45K       ,44.960691491        ,0.000000560         ,2020      
45Ca      ,44.956186270        ,0.000000392         ,2020      
45Sc      ,44.955907051        ,0.000000712         ,2020      
45Ti      ,44.958120758        ,0.000000897         ,2020      
45V       ,44.965768498        ,0.000000926         ,2020      
45Cr      ,44.979050000        ,0.000038000         ,2020      
45Mn      ,44.994654           ,0.000322            ,2020      
45Fe      ,45.015467           ,0.000304            ,2020      
46P       ,46.024520           ,0.000537            ,2020      
46S       ,46.000687           ,0.000429            ,2020      
46Cl      ,45.985254926        ,0.000104400         ,2020      
46Ar      ,45.968039244        ,0.000002500         ,2020      
46K       ,45.961981584        ,0.000000780         ,2020      
46Ca      ,45.953687726        ,0.000002398         ,2020      
46Sc      ,45.955167034        ,0.000000720         ,2020      
46Ti      ,45.952626356        ,0.000000097         ,2020      
46V       ,45.960197389        ,0.000000143         ,2020      
46Cr      ,45.968360969        ,0.000012295         ,2020      
46Mn      ,45.986669000        ,0.000093000         ,2020      
46Fe      ,46.001299           ,0.000322            ,2020      
47P       ,47.030929           ,0.000644            ,2020      
47S       ,47.007730           ,0.000429            ,2020      
47Cl      ,46.989715           ,0.000215            ,2020      
47Ar      ,46.972767112        ,0.000001300         ,2020      
47K       ,46.961661612        ,0.000001500         ,2020      
47Ca      ,46.954541134        ,0.000002384         ,2020      
47Sc      ,46.952402444        ,0.000002072         ,2020      
47Ti      ,46.951757491        ,0.000000085         ,2020      
47V       ,46.954903558        ,0.000000118         ,2020      
47Cr      ,46.962894995        ,0.000005578         ,2020      
47Mn      ,46.975774000        ,0.000034000         ,2020      
47Fe      ,46.992346           ,0.000537            ,2020      
47Co      ,47.011401           ,0.000644            ,2020      
48S       ,48.013301           ,0.000537            ,2020      
48Cl      ,47.995405           ,0.000537            ,2020      
48Ar      ,47.976001000        ,0.000018000         ,2020      
48K       ,47.965341184        ,0.000000830         ,2020      
48Ca      ,47.952522654        ,0.000000018         ,2020      
48Sc      ,47.952222903        ,0.000005313         ,2020      
48Ti      ,47.947940677        ,0.000000079         ,2020      
48V       ,47.952250900        ,0.000001043         ,2020      
48Cr      ,47.954029431        ,0.000007848         ,2020      
48Mn      ,47.968548760        ,0.000007191         ,2020      
48Fe      ,47.980667000        ,0.000099000         ,2020      
48Co      ,48.001857           ,0.000537            ,2020      
48Ni      ,48.019515           ,0.000455            ,2020      
49S       ,49.021891           ,0.000626            ,2020      
49Cl      ,49.000794           ,0.000429            ,2020      
49Ar      ,48.981685           ,0.000429            ,2020      
49K       ,48.968210753        ,0.000000860         ,2020      
49Ca      ,48.955662625        ,0.000000190         ,2020      
49Sc      ,48.950013159        ,0.000002434         ,2020      
49Ti      ,48.947864391        ,0.000000084         ,2020      
49V       ,48.948510509        ,0.000000884         ,2020      
49Cr      ,48.951333720        ,0.000002363         ,2020      
49Mn      ,48.959613350        ,0.000002377         ,2020      
49Fe      ,48.973429000        ,0.000026000         ,2020      
49Co      ,48.989501           ,0.000537            ,2020      
