z         nuclide   A         mass                uncertainty         Year/link 
12        Mg        35        35.016790000        0.000289500         2020      
12        Mg        36        36.021879000        0.000741000         2020      
12        Mg        37        37.030286265        0.000750350         2020      
12        Mg        38        38.036580           0.000540            2020      
12        Mg        39        39.045921           0.000551            2020      
12        Mg        40        40.053194           0.000537            2020      
12        Mg        41        41.062373           0.000537            2020      
--------------------------------------------------------------------------------
13        Al        21        21.029082           0.000644            2020      
13        Al        22        22.019540           0.000430            2020      
13        Al        23        23.007244351        0.000000370         2020      
13        Al        24        23.999947598        0.000000244         2020      
13        Al        25        24.990428308        0.000000069         2020      
13        Al        26        25.986891876        0.000000071         2020      
13        Al        27        26.981538408        0.000000050         2020      
13        Al        28        27.981910009        0.000000052         2020      
13        Al        29        28.980453164        0.000000370         2020      
13        Al        30        29.982969171        0.000002077         2020      
13        Al        31        30.983949754        0.000002400         2020      
13        Al        32        31.988084338        0.000007700         2020      
13        Al        33        32.990877685        0.000007500         2020      
13        Al        34        33.996781924        0.000002259         2020      
13        Al        35        34.999759816        0.000007900         2020      
13        Al        36        36.006388000        0.000160500         2020      
13        Al        37        37.010531000        0.000193500         2020      
13        Al        38        38.017681           0.000161            2020      
13        Al        39        39.023070           0.000322            2020      
13        Al        40        40.030940           0.000322            2020      
13        Al        41        41.037134           0.000429            2020      
13        Al        42        42.045078           0.000537            2020      
13        Al        43        43.051820           0.000644            2020      
--------------------------------------------------------------------------------
14        Si        22        22.036114           0.000537            2020      
14        Si        23        23.025711           0.000537            2020      
14        Si        24        24.011535430        0.000020904         2020      
14        Si        25        25.004108798        0.000010735         2020      
14        Si        26        25.992333818        0.000000115         2020      
14        Si        27        26.986704687        0.000000115         2020      
14        Si        28        27.97692653442      0.00000000055       2020      
14        Si        29        28.97649466434      0.00000000060       2020      
14        Si        30        29.973770137        0.000000023         2020      
14        Si        31        30.975363196        0.000000046         2020      
14        Si        32        31.974151538        0.000000320         2020      
14        Si        33        32.977976964        0.000000750         2020      
14        Si        34        33.978538045        0.000000860         2020      
14        Si        35        34.984550111        0.000038494         2020      
14        Si        36        35.986649271        0.000077077         2020      
14        Si        37        36.992945191        0.000122179         2020      
14        Si        38        37.995523000        0.000112500         2020      
14        Si        39        39.002491000        0.000145500         2020      
14        Si        40        40.006083641        0.000130962         2020      
14        Si        41        41.014171           0.000322            2020      
14        Si        42        42.018078           0.000322            2020      
14        Si        43        43.026119           0.000429            2020      
14        Si        44        44.031466           0.000537            2020      
14        Si        45        45.039818           0.000644            2020      
--------------------------------------------------------------------------------
15        P         24        24.036522           0.000537            2020      
15        P         25        25.021675           0.000429            2020      
15        P         26        26.011780           0.000210            2020      
15        P         27        26.999292499        0.000009662         2020      
15        P         28        27.992326460        0.000001231         2020      
15        P         29        28.981800368        0.000000385         2020      
15        P         30        29.978313490        0.000000069         2020      
15        P         31        30.97376199768      0.00000000080       2020      
15        P         32        31.973907643        0.000000042         2020      
15        P         33        32.971725692        0.000001170         2020      
15        P         34        33.973645886        0.000000870         2020      
15        P         35        34.973314045        0.000002003         2020      
15        P         36        35.978259610        0.000014078         2020      
15        P         37        36.979606942        0.000040738         2020      
15        P         38        37.984303105        0.000077918         2020      
15        P         39        38.986285865        0.000120929         2020      
15        P         40        39.991262221        0.000089755         2020      
15        P         41        40.994654000        0.000129000         2020      
15        P         42        42.001172140        0.000101996         2020      
15        P         43        43.005411           0.000322            2020      
15        P         44        44.011927           0.000429            2020      
15        P         45        45.017134           0.000537            2020      
15        P         46        46.024520           0.000537            2020      
15        P         47        47.030929           0.000644            2020      
--------------------------------------------------------------------------------
16        S         26        26.029716           0.000644            2020      
16        S         27        27.018777           0.000430            2020      
16        S         28        28.004372762        0.000171767         2020      
16        S         29        28.996678000        0.000014000         2020      
16        S         30        29.984906770        0.000000221         2020      
16        S         31        30.979557002        0.000000246         2020      
16        S         32        31.97207117354      0.00000000141       2020      
16        S         33        32.97145890862      0.00000000144       2020      
16        S         34        33.967867011        0.000000047         2020      
16        S         35        34.969032321        0.000000043         2020      
16        S         36        35.967080692        0.000000201         2020      
16        S         37        36.971125500        0.000000212         2020      
16        S         38        37.971163300        0.000007699         2020      
16        S         39        38.975133850        0.000053677         2020      
16        S         40        39.975482561        0.000004274         2020      
